Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
ERR950181_2_val_2	(50, 114852.0)	(52, 128183.0)	(54, 133221.0)	(56, 140263.0)	(58, 157296.0)	(60, 182048.0)	(62, 186796.0)	(64, 209748.0)	(66, 223056.0)	(68, 252710.0)	(70, 309416.0)	(72, 298438.0)	(74, 330218.0)	(76, 335884.0)	(78, 356216.0)	(80, 448072.0)	(82, 376929.0)	(84, 427663.0)	(86, 507744.0)	(88, 520368.0)	(90, 615516.0)	(92, 699131.0)	(94, 922306.0)	(96, 1269487.0)	(98, 3336195.0)	(100, 11862762.0)
ERR950182_1_val_1	(50, 67350.0)	(52, 80122.0)	(54, 86109.0)	(56, 94806.0)	(58, 106317.0)	(60, 121686.0)	(62, 128585.0)	(64, 148371.0)	(66, 158278.0)	(68, 181421.0)	(70, 234028.0)	(72, 212236.0)	(74, 242945.0)	(76, 265008.0)	(78, 271533.0)	(80, 312147.0)	(82, 324400.0)	(84, 361972.0)	(86, 422097.0)	(88, 461898.0)	(90, 575281.0)	(92, 714108.0)	(94, 1058174.0)	(96, 1525319.0)	(98, 3807574.0)	(100, 12244316.0)
ERR950182_2_val_2	(50, 89268.0)	(52, 94230.0)	(54, 98618.0)	(56, 106541.0)	(58, 119438.0)	(60, 135142.0)	(62, 142811.0)	(64, 159878.0)	(66, 164770.0)	(68, 193015.0)	(70, 234891.0)	(72, 212315.0)	(74, 241125.0)	(76, 242083.0)	(78, 259631.0)	(80, 348246.0)	(82, 293038.0)	(84, 320792.0)	(86, 374291.0)	(88, 412119.0)	(90, 500358.0)	(92, 599255.0)	(94, 830710.0)	(96, 1154239.0)	(98, 3401739.0)	(100, 13477538.0)
ERR950183_1_val_1	(50, 146381.0)	(52, 152781.0)	(54, 152951.0)	(56, 183282.0)	(58, 204665.0)	(60, 218222.0)	(62, 259670.0)	(64, 295399.0)	(66, 364889.0)	(68, 381817.0)	(70, 415910.0)	(72, 446480.0)	(74, 465662.0)	(76, 515561.0)	(78, 540026.0)	(80, 599977.0)	(82, 669151.0)	(84, 736158.0)	(86, 885562.0)	(88, 947966.0)	(90, 1040835.0)	(92, 1149443.0)	(94, 1386469.0)	(96, 1951716.0)	(98, 4678664.0)	(100, 8757456.0)
ERR950183_2_val_2	(50, 167396.0)	(52, 158760.0)	(54, 150532.0)	(56, 170416.0)	(58, 181984.0)	(60, 212016.0)	(62, 241704.0)	(64, 258919.0)	(66, 295319.0)	(68, 312037.0)	(70, 345551.0)	(72, 358073.0)	(74, 428512.0)	(76, 439030.0)	(78, 487413.0)	(80, 631728.0)	(82, 481128.0)	(84, 526791.0)	(86, 616660.0)	(88, 685680.0)	(90, 789499.0)	(92, 865310.0)	(94, 1071203.0)	(96, 1409287.0)	(98, 4165011.0)	(100, 12097134.0)
ERR950184_1_val_1	(50, 84202.0)	(52, 99479.0)	(54, 116534.0)	(56, 143612.0)	(58, 166473.0)	(60, 192703.0)	(62, 209376.0)	(64, 254183.0)	(66, 254059.0)	(68, 277889.0)	(70, 323441.0)	(72, 354021.0)	(74, 401709.0)	(76, 423810.0)	(78, 510212.0)	(80, 513002.0)	(82, 556445.0)	(84, 651680.0)	(86, 704353.0)	(88, 769177.0)	(90, 852599.0)	(92, 980572.0)	(94, 1229856.0)	(96, 1743291.0)	(98, 3434826.0)	(100, 8480574.0)
ERR950184_2_val_2	(50, 89744.0)	(52, 98052.0)	(54, 102416.0)	(56, 119297.0)	(58, 133812.0)	(60, 151178.0)	(62, 160100.0)	(64, 196529.0)	(66, 187532.0)	(68, 205842.0)	(70, 228523.0)	(72, 238310.0)	(74, 276986.0)	(76, 282384.0)	(78, 344827.0)	(80, 376410.0)	(82, 343472.0)	(84, 449423.0)	(86, 481235.0)	(88, 497211.0)	(90, 565753.0)	(92, 675203.0)	(94, 868624.0)	(96, 1288821.0)	(98, 3342214.0)	(100, 12024180.0)
ERR950185_1_val_1	(50, 97802.0)	(52, 107719.0)	(54, 119577.0)	(56, 128610.0)	(58, 136685.0)	(60, 153748.0)	(62, 162355.0)	(64, 187449.0)	(66, 203396.0)	(68, 216878.0)	(70, 253650.0)	(72, 258598.0)	(74, 286218.0)	(76, 303442.0)	(78, 314964.0)	(80, 355126.0)	(82, 385906.0)	(84, 434112.0)	(86, 514747.0)	(88, 545863.0)	(90, 630412.0)	(92, 738329.0)	(94, 1039641.0)	(96, 1564924.0)	(98, 3669707.0)	(100, 9482204.0)
ERR950185_2_val_2	(50, 113244.0)	(52, 117727.0)	(54, 128021.0)	(56, 134230.0)	(58, 143528.0)	(60, 159935.0)	(62, 165620.0)	(64, 189609.0)	(66, 200119.0)	(68, 216232.0)	(70, 244790.0)	(72, 247462.0)	(74, 283764.0)	(76, 283450.0)	(78, 299463.0)	(80, 350616.0)	(82, 325092.0)	(84, 354258.0)	(86, 418800.0)	(88, 452070.0)	(90, 529977.0)	(92, 617210.0)	(94, 804238.0)	(96, 1084056.0)	(98, 3010881.0)	(100, 11417670.0)
ERR950186_1_val_1	(50, 88970.0)	(52, 107723.0)	(54, 116349.0)	(56, 133255.0)	(58, 151895.0)	(60, 182179.0)	(62, 190074.0)	(64, 221228.0)	(66, 240389.0)	(68, 270381.0)	(70, 347414.0)	(72, 324816.0)	(74, 364458.0)	(76, 396699.0)	(78, 425249.0)	(80, 465615.0)	(82, 485894.0)	(84, 549707.0)	(86, 633064.0)	(88, 688045.0)	(90, 808807.0)	(92, 929732.0)	(94, 1272361.0)	(96, 1668824.0)	(98, 3639050.0)	(100, 11387439.0)
ERR950186_2_val_2	(50, 105969.0)	(52, 112754.0)	(54, 114858.0)	(56, 124850.0)	(58, 140771.0)	(60, 163397.0)	(62, 170435.0)	(64, 191918.0)	(66, 199420.0)	(68, 230198.0)	(70, 289790.0)	(72, 252296.0)	(74, 291306.0)	(76, 286190.0)	(78, 311151.0)	(80, 429131.0)	(82, 350931.0)	(84, 387882.0)	(86, 463194.0)	(88, 484538.0)	(90, 592296.0)	(92, 710289.0)	(94, 957983.0)	(96, 1293816.0)	(98, 3736531.0)	(100, 13697723.0)
ERR950187_1_val_1	(50, 58736.0)	(52, 74626.0)	(54, 74598.0)	(56, 95666.0)	(58, 103129.0)	(60, 121677.0)	(62, 125317.0)	(64, 163286.0)	(66, 156357.0)	(68, 177428.0)	(70, 204969.0)	(72, 224701.0)	(74, 277194.0)	(76, 277198.0)	(78, 312269.0)	(80, 351409.0)	(82, 371461.0)	(84, 512063.0)	(86, 565802.0)	(88, 566871.0)	(90, 665783.0)	(92, 878671.0)	(94, 1126823.0)	(96, 1840568.0)	(98, 3984702.0)	(100, 10899590.0)
ERR950187_2_val_2	(50, 66744.0)	(52, 77985.0)	(54, 76926.0)	(56, 92072.0)	(58, 100002.0)	(60, 114972.0)	(62, 122877.0)	(64, 159151.0)	(66, 148043.0)	(68, 178749.0)	(70, 178263.0)	(72, 202287.0)	(74, 255369.0)	(76, 227563.0)	(78, 307651.0)	(80, 466818.0)	(82, 315515.0)	(84, 455883.0)	(86, 463917.0)	(88, 442169.0)	(90, 544226.0)	(92, 716863.0)	(94, 865231.0)	(96, 1257676.0)	(98, 3740820.0)	(100, 12633122.0)
