Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
ERR950163_1_val_1	(18.0, 1.0)	(19.0, 2.0)	(20.0, 23.0)	(21.0, 224.0)	(22.0, 1682.0)	(23.0, 7533.0)	(24.0, 24164.0)	(25.0, 59509.0)	(26.0, 120921.0)	(27.0, 213952.0)	(28.0, 335457.0)	(29.0, 480142.0)	(30.0, 642256.0)	(31.0, 829238.0)	(32.0, 1062353.0)	(33.0, 1380212.0)	(34.0, 1868155.0)	(35.0, 2674497.0)	(36.0, 4082412.0)	(37.0, 5082793.0)	(38.0, 2668692.0)	(39.0, 514053.0)	(40.0, 888.0)						
ERR950163_2_val_2	(13.0, 1.0)	(14.0, 4.0)	(15.0, 12.0)	(16.0, 32.0)	(17.0, 191.0)	(18.0, 540.0)	(19.0, 1353.0)	(20.0, 6626.0)	(21.0, 17203.0)	(22.0, 35213.0)	(23.0, 60732.0)	(24.0, 96483.0)	(25.0, 143440.0)	(26.0, 202386.0)	(27.0, 272788.0)	(28.0, 357623.0)	(29.0, 458262.0)	(30.0, 580517.0)	(31.0, 729469.0)	(32.0, 929179.0)	(33.0, 1206314.0)	(34.0, 1623984.0)	(35.0, 2229592.0)	(36.0, 3299159.0)	(37.0, 4641118.0)	(38.0, 4050401.0)	(39.0, 1094582.0)	(40.0, 11955.0)	
ERR950164_1_val_1	(19.0, 2.0)	(20.0, 16.0)	(21.0, 133.0)	(22.0, 765.0)	(23.0, 3455.0)	(24.0, 11607.0)	(25.0, 30428.0)	(26.0, 65056.0)	(27.0, 119103.0)	(28.0, 192150.0)	(29.0, 283938.0)	(30.0, 392790.0)	(31.0, 523725.0)	(32.0, 694201.0)	(33.0, 940948.0)	(34.0, 1348966.0)	(35.0, 2069727.0)	(36.0, 3388267.0)	(37.0, 4448553.0)	(38.0, 2319432.0)	(39.0, 419820.0)	(40.0, 803.0)							
ERR950164_2_val_2	(13.0, 1.0)	(14.0, 2.0)	(15.0, 11.0)	(16.0, 30.0)	(17.0, 180.0)	(18.0, 469.0)	(19.0, 1001.0)	(20.0, 3601.0)	(21.0, 8322.0)	(22.0, 16863.0)	(23.0, 30205.0)	(24.0, 48964.0)	(25.0, 75242.0)	(26.0, 110226.0)	(27.0, 153082.0)	(28.0, 208833.0)	(29.0, 275413.0)	(30.0, 359157.0)	(31.0, 466803.0)	(32.0, 614696.0)	(33.0, 829520.0)	(34.0, 1165052.0)	(35.0, 1688050.0)	(36.0, 2680917.0)	(37.0, 3991074.0)	(38.0, 3589958.0)	(39.0, 926262.0)	(40.0, 9951.0)	
ERR950165_1_val_1	(19.0, 2.0)	(20.0, 32.0)	(21.0, 266.0)	(22.0, 1700.0)	(23.0, 6958.0)	(24.0, 21467.0)	(25.0, 53088.0)	(26.0, 107734.0)	(27.0, 191769.0)	(28.0, 300645.0)	(29.0, 433288.0)	(30.0, 582134.0)	(31.0, 756324.0)	(32.0, 971227.0)	(33.0, 1279094.0)	(34.0, 1764847.0)	(35.0, 2604584.0)	(36.0, 4240119.0)	(37.0, 5707295.0)	(38.0, 2649954.0)	(39.0, 421710.0)	(40.0, 373.0)							
ERR950165_2_val_2	(15.0, 10.0)	(16.0, 42.0)	(17.0, 163.0)	(18.0, 411.0)	(19.0, 921.0)	(20.0, 4426.0)	(21.0, 11133.0)	(22.0, 21741.0)	(23.0, 37535.0)	(24.0, 59857.0)	(25.0, 90906.0)	(26.0, 130152.0)	(27.0, 178353.0)	(28.0, 238613.0)	(29.0, 314409.0)	(30.0, 407323.0)	(31.0, 528451.0)	(32.0, 699928.0)	(33.0, 955256.0)	(34.0, 1378382.0)	(35.0, 2034036.0)	(36.0, 3433216.0)	(37.0, 5348051.0)	(38.0, 5003520.0)	(39.0, 1205220.0)	(40.0, 12555.0)			
ERR950166_1_val_1	(19.0, 4.0)	(20.0, 39.0)	(21.0, 355.0)	(22.0, 2303.0)	(23.0, 10596.0)	(24.0, 32658.0)	(25.0, 80144.0)	(26.0, 164445.0)	(27.0, 289814.0)	(28.0, 461024.0)	(29.0, 672675.0)	(30.0, 930811.0)	(31.0, 1254469.0)	(32.0, 1679693.0)	(33.0, 2218743.0)	(34.0, 2845008.0)	(35.0, 3533052.0)	(36.0, 4334610.0)	(37.0, 4364230.0)	(38.0, 1945321.0)	(39.0, 288384.0)	(40.0, 278.0)							
ERR950166_2_val_2	(14.0, 4.0)	(15.0, 12.0)	(16.0, 51.0)	(17.0, 183.0)	(18.0, 529.0)	(19.0, 1252.0)	(20.0, 6982.0)	(21.0, 18842.0)	(22.0, 38301.0)	(23.0, 67572.0)	(24.0, 107955.0)	(25.0, 162546.0)	(26.0, 231652.0)	(27.0, 314992.0)	(28.0, 413270.0)	(29.0, 532973.0)	(30.0, 675570.0)	(31.0, 853300.0)	(32.0, 1088902.0)	(33.0, 1413418.0)	(34.0, 1900716.0)	(35.0, 2600720.0)	(36.0, 3832374.0)	(37.0, 5299043.0)	(38.0, 4486064.0)	(39.0, 1051903.0)	(40.0, 9530.0)		
ERR950167_1_val_1	(18.0, 2.0)	(19.0, 3.0)	(20.0, 79.0)	(21.0, 573.0)	(22.0, 3361.0)	(23.0, 14109.0)	(24.0, 44129.0)	(25.0, 106659.0)	(26.0, 216722.0)	(27.0, 376479.0)	(28.0, 580968.0)	(29.0, 818485.0)	(30.0, 1070921.0)	(31.0, 1345789.0)	(32.0, 1678295.0)	(33.0, 2125760.0)	(34.0, 2802128.0)	(35.0, 3952192.0)	(36.0, 5992862.0)	(37.0, 6929178.0)	(38.0, 2664414.0)	(39.0, 739292.0)	(40.0, 959.0)						
ERR950167_2_val_2	(13.0, 3.0)	(14.0, 2.0)	(15.0, 23.0)	(16.0, 55.0)	(17.0, 219.0)	(18.0, 504.0)	(19.0, 1229.0)	(20.0, 6401.0)	(21.0, 17056.0)	(22.0, 34260.0)	(23.0, 61180.0)	(24.0, 99227.0)	(25.0, 150705.0)	(26.0, 217237.0)	(27.0, 302497.0)	(28.0, 407353.0)	(29.0, 538739.0)	(30.0, 701662.0)	(31.0, 920917.0)	(32.0, 1224309.0)	(33.0, 1668863.0)	(34.0, 2378045.0)	(35.0, 3393069.0)	(36.0, 5764516.0)	(37.0, 7653187.0)	(38.0, 4910234.0)	(39.0, 1006701.0)	(40.0, 5166.0)	
