Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
ERR950179_2_val_2	(13.0, 2.0)	(14.0, 1.0)	(15.0, 7.0)	(16.0, 28.0)	(17.0, 142.0)	(18.0, 338.0)	(19.0, 657.0)	(20.0, 2448.0)	(21.0, 5713.0)	(22.0, 10476.0)	(23.0, 18198.0)	(24.0, 28965.0)	(25.0, 43889.0)	(26.0, 64609.0)	(27.0, 91629.0)	(28.0, 128205.0)	(29.0, 175690.0)	(30.0, 239863.0)	(31.0, 327564.0)	(32.0, 459927.0)	(33.0, 662727.0)	(34.0, 1012248.0)	(35.0, 1568650.0)	(36.0, 2704424.0)	(37.0, 4335397.0)	(38.0, 3997806.0)	(39.0, 994160.0)	(40.0, 10059.0)	
ERR950180_1_val_1	(19.0, 1.0)	(20.0, 29.0)	(21.0, 243.0)	(22.0, 1602.0)	(23.0, 7580.0)	(24.0, 25223.0)	(25.0, 64762.0)	(26.0, 135184.0)	(27.0, 244362.0)	(28.0, 392448.0)	(29.0, 571605.0)	(30.0, 779307.0)	(31.0, 1023445.0)	(32.0, 1338822.0)	(33.0, 1787202.0)	(34.0, 2500975.0)	(35.0, 3756606.0)	(36.0, 6037177.0)	(37.0, 7691132.0)	(38.0, 3894885.0)	(39.0, 721913.0)	(40.0, 1305.0)							
ERR950180_2_val_2	(12.0, 1.0)	(13.0, 1.0)	(14.0, 4.0)	(15.0, 13.0)	(16.0, 66.0)	(17.0, 277.0)	(18.0, 833.0)	(19.0, 1742.0)	(20.0, 7379.0)	(21.0, 18098.0)	(22.0, 35840.0)	(23.0, 63080.0)	(24.0, 101773.0)	(25.0, 154764.0)	(26.0, 223868.0)	(27.0, 311960.0)	(28.0, 418688.0)	(29.0, 550023.0)	(30.0, 711506.0)	(31.0, 923398.0)	(32.0, 1209590.0)	(33.0, 1616155.0)	(34.0, 2240202.0)	(35.0, 3185945.0)	(36.0, 4950190.0)	(37.0, 7001306.0)	(38.0, 5806587.0)	(39.0, 1428261.0)	(40.0, 14258.0)
ERR950181_1_val_1	(18.0, 1.0)	(19.0, 0.0)	(20.0, 35.0)	(21.0, 373.0)	(22.0, 2512.0)	(23.0, 10886.0)	(24.0, 33885.0)	(25.0, 82911.0)	(26.0, 167923.0)	(27.0, 296522.0)	(28.0, 469069.0)	(29.0, 680306.0)	(30.0, 937668.0)	(31.0, 1268975.0)	(32.0, 1705488.0)	(33.0, 2260451.0)	(34.0, 2886269.0)	(35.0, 3533499.0)	(36.0, 4241965.0)	(37.0, 3937439.0)	(38.0, 1522193.0)	(39.0, 305833.0)	(40.0, 315.0)						
ERR950181_2_val_2	(12.0, 1.0)	(13.0, 2.0)	(14.0, 10.0)	(15.0, 16.0)	(16.0, 78.0)	(17.0, 260.0)	(18.0, 579.0)	(19.0, 1506.0)	(20.0, 8091.0)	(21.0, 22199.0)	(22.0, 45210.0)	(23.0, 78226.0)	(24.0, 124470.0)	(25.0, 185458.0)	(26.0, 260150.0)	(27.0, 349284.0)	(28.0, 454474.0)	(29.0, 578353.0)	(30.0, 724051.0)	(31.0, 903022.0)	(32.0, 1134308.0)	(33.0, 1456222.0)	(34.0, 1932097.0)	(35.0, 2597732.0)	(36.0, 3783883.0)	(37.0, 4884517.0)	(38.0, 3836995.0)	(39.0, 973465.0)	(40.0, 9859.0)
ERR950182_1_val_1	(19.0, 2.0)	(20.0, 39.0)	(21.0, 295.0)	(22.0, 2113.0)	(23.0, 9230.0)	(24.0, 28747.0)	(25.0, 69812.0)	(26.0, 142864.0)	(27.0, 249590.0)	(28.0, 390396.0)	(29.0, 554264.0)	(30.0, 736584.0)	(31.0, 938276.0)	(32.0, 1182208.0)	(33.0, 1509269.0)	(34.0, 2004584.0)	(35.0, 2854635.0)	(36.0, 4549613.0)	(37.0, 5936148.0)	(38.0, 2637006.0)	(39.0, 409884.0)	(40.0, 522.0)							
ERR950182_2_val_2	(14.0, 2.0)	(15.0, 12.0)	(16.0, 46.0)	(17.0, 181.0)	(18.0, 471.0)	(19.0, 1203.0)	(20.0, 6792.0)	(21.0, 18365.0)	(22.0, 36857.0)	(23.0, 64550.0)	(24.0, 101805.0)	(25.0, 152213.0)	(26.0, 213000.0)	(27.0, 288232.0)	(28.0, 377172.0)	(29.0, 481993.0)	(30.0, 609583.0)	(31.0, 764623.0)	(32.0, 974993.0)	(33.0, 1276137.0)	(34.0, 1753472.0)	(35.0, 2469818.0)	(36.0, 3861425.0)	(37.0, 5376563.0)	(38.0, 4404717.0)	(39.0, 963122.0)	(40.0, 8734.0)		
ERR950183_1_val_1	(20.0, 1.0)	(21.0, 3.0)	(22.0, 17.0)	(23.0, 80.0)	(24.0, 266.0)	(25.0, 880.0)	(26.0, 2360.0)	(27.0, 5557.0)	(28.0, 14558.0)	(29.0, 44358.0)	(30.0, 117390.0)	(31.0, 258657.0)	(32.0, 502275.0)	(33.0, 914989.0)	(34.0, 1649585.0)	(35.0, 3051922.0)	(36.0, 5993639.0)	(37.0, 9074870.0)	(38.0, 5010687.0)	(39.0, 903385.0)	(40.0, 1614.0)								
ERR950183_2_val_2	(14.0, 1.0)	(15.0, 9.0)	(16.0, 16.0)	(17.0, 107.0)	(18.0, 267.0)	(19.0, 553.0)	(20.0, 764.0)	(21.0, 1017.0)	(22.0, 1295.0)	(23.0, 1850.0)	(24.0, 3084.0)	(25.0, 5076.0)	(26.0, 8256.0)	(27.0, 14123.0)	(28.0, 36342.0)	(29.0, 85740.0)	(30.0, 176213.0)	(31.0, 331746.0)	(32.0, 576640.0)	(33.0, 958346.0)	(34.0, 1564939.0)	(35.0, 2536279.0)	(36.0, 4604936.0)	(37.0, 7492160.0)	(38.0, 7174918.0)	(39.0, 1949580.0)	(40.0, 22836.0)		
ERR950184_1_val_1	(18.0, 2.0)	(19.0, 3.0)	(20.0, 29.0)	(21.0, 260.0)	(22.0, 2014.0)	(23.0, 8537.0)	(24.0, 26461.0)	(25.0, 65996.0)	(26.0, 135296.0)	(27.0, 243030.0)	(28.0, 392690.0)	(29.0, 592678.0)	(30.0, 854682.0)	(31.0, 1206475.0)	(32.0, 1687758.0)	(33.0, 2299023.0)	(34.0, 2967540.0)	(35.0, 3607770.0)	(36.0, 4200956.0)	(37.0, 3786572.0)	(38.0, 1413811.0)	(39.0, 236318.0)	(40.0, 177.0)						
ERR950184_2_val_2	(13.0, 1.0)	(14.0, 4.0)	(15.0, 18.0)	(16.0, 68.0)	(17.0, 268.0)	(18.0, 659.0)	(19.0, 1532.0)	(20.0, 6696.0)	(21.0, 17760.0)	(22.0, 35245.0)	(23.0, 62100.0)	(24.0, 98866.0)	(25.0, 148231.0)	(26.0, 209861.0)	(27.0, 285650.0)	(28.0, 376207.0)	(29.0, 483354.0)	(30.0, 615036.0)	(31.0, 780882.0)	(32.0, 998584.0)	(33.0, 1307608.0)	(34.0, 1778419.0)	(35.0, 2485679.0)	(36.0, 3649864.0)	(37.0, 5030759.0)	(38.0, 4274077.0)	(39.0, 1069174.0)	(40.0, 11476.0)	
ERR950185_1_val_1	(19.0, 2.0)	(20.0, 14.0)	(21.0, 164.0)	(22.0, 927.0)	(23.0, 4285.0)	(24.0, 14021.0)	(25.0, 36708.0)	(26.0, 78361.0)	(27.0, 143584.0)	(28.0, 233070.0)	(29.0, 345523.0)	(30.0, 477880.0)	(31.0, 641185.0)	(32.0, 855908.0)	(33.0, 1176603.0)	(34.0, 1702701.0)	(35.0, 2652396.0)	(36.0, 4410808.0)	(37.0, 5790197.0)	(38.0, 3047961.0)	(39.0, 678618.0)	(40.0, 1146.0)							
ERR950185_2_val_2	(13.0, 1.0)	(14.0, 2.0)	(15.0, 8.0)	(16.0, 41.0)	(17.0, 261.0)	(18.0, 685.0)	(19.0, 1393.0)	(20.0, 4705.0)	(21.0, 10945.0)	(22.0, 21364.0)	(23.0, 37305.0)	(24.0, 59281.0)	(25.0, 90814.0)	(26.0, 131958.0)	(27.0, 183776.0)	(28.0, 249446.0)	(29.0, 329092.0)	(30.0, 431404.0)	(31.0, 562548.0)	(32.0, 745686.0)	(33.0, 1015580.0)	(34.0, 1443240.0)	(35.0, 2096849.0)	(36.0, 3439800.0)	(37.0, 5177271.0)	(38.0, 4811401.0)	(39.0, 1430040.0)	(40.0, 17166.0)	
ERR950186_1_val_1	(19.0, 2.0)	(20.0, 34.0)	(21.0, 388.0)	(22.0, 2401.0)	(23.0, 10926.0)	(24.0, 34437.0)	(25.0, 84913.0)	(26.0, 173768.0)	(27.0, 309066.0)	(28.0, 488083.0)	(29.0, 709695.0)	(30.0, 972575.0)	(31.0, 1299330.0)	(32.0, 1732126.0)	(33.0, 2285396.0)	(34.0, 2938391.0)	(35.0, 3688754.0)	(36.0, 4610411.0)	(37.0, 4582143.0)	(38.0, 1864644.0)	(39.0, 301761.0)	(40.0, 373.0)							
ERR950186_2_val_2	(14.0, 3.0)	(15.0, 7.0)	(16.0, 48.0)	(17.0, 188.0)	(18.0, 506.0)	(19.0, 1361.0)	(20.0, 7418.0)	(21.0, 20436.0)	(22.0, 41737.0)	(23.0, 73983.0)	(24.0, 117785.0)	(25.0, 177217.0)	(26.0, 251309.0)	(27.0, 344361.0)	(28.0, 452126.0)	(29.0, 584886.0)	(30.0, 739280.0)	(31.0, 937961.0)	(32.0, 1192754.0)	(33.0, 1554367.0)	(34.0, 2102836.0)	(35.0, 2885672.0)	(36.0, 4249972.0)	(37.0, 5474811.0)	(38.0, 4016183.0)	(39.0, 855535.0)	(40.0, 6875.0)		
ERR950187_1_val_1	(20.0, 22.0)	(21.0, 218.0)	(22.0, 1470.0)	(23.0, 6789.0)	(24.0, 22748.0)	(25.0, 58245.0)	(26.0, 121868.0)	(27.0, 219973.0)	(28.0, 351580.0)	(29.0, 514356.0)	(30.0, 700826.0)	(31.0, 930130.0)	(32.0, 1231043.0)	(33.0, 1685783.0)	(34.0, 2436712.0)	(35.0, 3640553.0)	(36.0, 5383398.0)	(37.0, 5169985.0)	(38.0, 1517670.0)	(39.0, 217357.0)	(40.0, 168.0)								
ERR950187_2_val_2	(14.0, 1.0)	(15.0, 7.0)	(16.0, 24.0)	(17.0, 110.0)	(18.0, 259.0)	(19.0, 640.0)	(20.0, 3256.0)	(21.0, 8515.0)	(22.0, 16932.0)	(23.0, 30119.0)	(24.0, 48893.0)	(25.0, 76226.0)	(26.0, 113951.0)	(27.0, 164545.0)	(28.0, 231341.0)	(29.0, 320684.0)	(30.0, 440692.0)	(31.0, 613310.0)	(32.0, 869631.0)	(33.0, 1260697.0)	(34.0, 1908121.0)	(35.0, 2920286.0)	(36.0, 4752111.0)	(37.0, 5866685.0)	(38.0, 3860681.0)	(39.0, 698920.0)	(40.0, 4257.0)		
