Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR950170_1	(1.0, 65.71052466612527)	(2.0, 14.31567149426126)	(3.0, 3.791178824642631)	(4.0, 1.7427602512988496)	(5.0, 1.0865418939696148)	(6.0, 0.8245360008806216)	(7.0, 0.5758824976170074)	(8.0, 0.46819051633375164)	(9.0, 0.44585260871822396)	('>10', 4.775337924190746)	('>50', 1.2443170081385027)	('>100', 1.5970760670518718)	('>500', 0.5282440142964763)	('>1k', 1.1034548096004906)	('>5k', 0.46932695388793644)	('>10k+', 1.321104468986828)
ERR950171_1	(1.0, 72.3929062020888)	(2.0, 7.794062700105409)	(3.0, 2.5629360035676183)	(4.0, 1.4064803559770358)	(5.0, 0.9579182199577289)	(6.0, 0.7380539901229695)	(7.0, 0.6040443268122148)	(8.0, 0.5231831918415326)	(9.0, 0.46840620646514586)	('>10', 5.4076019900448555)	('>50', 1.7629336999075242)	('>100', 2.285113896245725)	('>500', 0.6471835698133416)	('>1k', 1.2786758175231892)	('>5k', 0.4503022701129288)	('>10k+', 0.7201975594139657)
ERR950172_1	(1.0, 33.042150441200384)	(2.0, 16.813662131027595)	(3.0, 7.139171403221499)	(4.0, 3.292872440755529)	(5.0, 1.8320645667919317)	(6.0, 1.273245555661555)	(7.0, 0.8877141713710734)	(8.0, 0.6855864492639036)	(9.0, 0.5840972266009185)	('>10', 6.498705899027233)	('>50', 2.299473283479643)	('>100', 5.449782963589931)	('>500', 2.2727796264396267)	('>1k', 5.77005079435139)	('>5k', 2.277689436533783)	('>10k+', 9.880953610684173)
ERR950173_1	(1.0, 40.20624867777111)	(2.0, 9.60795915292563)	(3.0, 3.5899818384794604)	(4.0, 1.9977476559257783)	(5.0, 1.342676158651306)	(6.0, 1.0104394322216497)	(7.0, 0.7841591802489691)	(8.0, 0.7009959348995115)	(9.0, 0.5582304027619419)	('>10', 6.7462252867815415)	('>50', 2.352072437318481)	('>100', 5.706163598853407)	('>500', 2.843308396513998)	('>1k', 7.154843003152527)	('>5k', 3.045131312047201)	('>10k+', 12.353817531447458)
ERR950174_1	(1.0, 19.842125330462135)	(2.0, 15.332307939301248)	(3.0, 9.806416706166718)	(4.0, 5.375539738147409)	(5.0, 2.893737527680109)	(6.0, 1.7596382005162317)	(7.0, 1.1929024374980497)	(8.0, 0.8545479987202025)	(9.0, 0.6511975235116106)	('>10', 6.8292916103612615)	('>50', 2.17706515642158)	('>100', 5.412832258920058)	('>500', 2.8258979432358804)	('>1k', 7.44261252496508)	('>5k', 3.6874450496500124)	('>10k+', 13.91644205444226)
ERR950175_1	(1.0, 68.89151943334493)	(2.0, 8.555045303709926)	(3.0, 2.60866971197516)	(4.0, 1.4609680993779124)	(5.0, 0.9624712211553166)	(6.0, 0.7453698954777507)	(7.0, 0.5764587932433842)	(8.0, 0.5227972531518226)	(9.0, 0.45451497323367224)	('>10', 5.69157822041023)	('>50', 1.7525836571043834)	('>100', 2.4910424941897125)	('>500', 0.8779339115710345)	('>1k', 2.5068846077161546)	('>5k', 0.5182268478297208)	('>10k+', 1.3839355765090227)
ERR950176_1	(1.0, 29.14580538538666)	(2.0, 13.924861862410387)	(3.0, 7.12676926460688)	(4.0, 3.651131786031854)	(5.0, 2.091524032213026)	(6.0, 1.4715730290856945)	(7.0, 1.147269663187655)	(8.0, 0.9310531234767608)	(9.0, 0.8106491634823749)	('>10', 9.000326053763768)	('>50', 2.397851850278894)	('>100', 5.09284756448471)	('>500', 2.706430872819374)	('>1k', 7.193043277173252)	('>5k', 2.766653377330142)	('>10k+', 10.542209694268632)
ERR950177_1	(1.0, 13.893067162138683)	(2.0, 10.96204960355837)	(3.0, 8.773720619222464)	(4.0, 6.06866653966714)	(5.0, 4.168066581026996)	(6.0, 2.623775451437483)	(7.0, 1.7424345867020523)	(8.0, 1.159083444433754)	(9.0, 0.9046154542959955)	('>10', 7.151467500733993)	('>50', 2.329893504411924)	('>100', 6.190047987068678)	('>500', 3.1604853898959804)	('>1k', 8.638065542332445)	('>5k', 4.6275160840103355)	('>10k+', 17.607044549063634)
ERR950178_1	(1.0, 45.670090932645294)	(2.0, 14.9959638701365)	(3.0, 5.2312699788597214)	(4.0, 2.450156743199798)	(5.0, 1.5917975020625494)	(6.0, 1.0580127643645612)	(7.0, 0.802079715090075)	(8.0, 0.6160517605740543)	(9.0, 0.5216174020002401)	('>10', 5.588195309035559)	('>50', 1.7412289357667503)	('>100', 4.166967937081698)	('>500', 1.703408312263293)	('>1k', 4.692332066164869)	('>5k', 2.2382313183923754)	('>10k+', 6.932595452362456)
ERR950179_1	(1.0, 30.744790740114542)	(2.0, 18.47777299451547)	(3.0, 9.291388505174027)	(4.0, 4.440136712214828)	(5.0, 2.24134222173992)	(6.0, 1.344140363294184)	(7.0, 1.0293652829740174)	(8.0, 0.8010444729277351)	(9.0, 0.5825092262529943)	('>10', 6.212786155275783)	('>50', 2.073530758263871)	('>100', 4.965107823031703)	('>500', 2.2170836613215577)	('>1k', 5.623054466225122)	('>5k', 2.2790733556072587)	('>10k+', 7.676873261066938)
ERR950180_1	(1.0, 40.16235614602358)	(2.0, 11.332186738369723)	(3.0, 3.985300190829297)	(4.0, 2.071475000926176)	(5.0, 1.2592045757400365)	(6.0, 0.8984781784862511)	(7.0, 0.719044011941265)	(8.0, 0.5991675756428628)	(9.0, 0.49088246492197074)	('>10', 5.752150183189007)	('>50', 2.200814221579371)	('>100', 5.574480964647314)	('>500', 2.7534343115771747)	('>1k', 6.714489971230352)	('>5k', 3.4093766438193818)	('>10k+', 12.077158821076294)
ERR950181_1	(1.0, 67.57136950121615)	(2.0, 8.55540008423657)	(3.0, 2.80924383888662)	(4.0, 1.7137603288143253)	(5.0, 1.1752187937700558)	(6.0, 0.8790578062008314)	(7.0, 0.7228365477396319)	(8.0, 0.5818939802308037)	(9.0, 0.47933372089723847)	('>10', 6.1953694088980615)	('>50', 1.770897880515741)	('>100', 2.4310555370496196)	('>500', 0.906727013208203)	('>1k', 2.2437174728010993)	('>5k', 0.6431075266834713)	('>10k+', 1.321010558851465)
ERR950182_1	(1.0, 26.737840637173953)	(2.0, 15.625148340032451)	(3.0, 7.806205328335693)	(4.0, 3.7376716138114543)	(5.0, 1.985479634454649)	(6.0, 1.2124902774075654)	(7.0, 0.8414234826854541)	(8.0, 0.5973063035844088)	(9.0, 0.5335474498109802)	('>10', 5.965733400182212)	('>50', 2.230909267902418)	('>100', 5.692332204455734)	('>500', 3.0059815256492595)	('>1k', 7.792010521993295)	('>5k', 3.4922292813313027)	('>10k+', 12.743690731189137)
ERR950183_1	(1.0, 43.32960880458415)	(2.0, 11.854026653016044)	(3.0, 4.212865814324927)	(4.0, 2.306506673439108)	(5.0, 1.491767422789079)	(6.0, 1.0806427636088707)	(7.0, 0.8593219253665718)	(8.0, 0.6900616653688703)	(9.0, 0.5659564548539702)	('>10', 6.706530203609138)	('>50', 2.15326192095741)	('>100', 4.9188230523337015)	('>500', 2.154307940717816)	('>1k', 5.409059502223555)	('>5k', 3.6945651353620677)	('>10k+', 8.572694067444923)
ERR950184_1	(1.0, 71.66405893655045)	(2.0, 8.176063611482109)	(3.0, 2.491882309744344)	(4.0, 1.331666274751228)	(5.0, 0.8916698652679859)	(6.0, 0.6808422673718749)	(7.0, 0.5665730460897466)	(8.0, 0.46818871602356094)	(9.0, 0.43246241889356607)	('>10', 5.632199342644221)	('>50', 1.7760962775227305)	('>100', 2.319240607885578)	('>500', 0.7504907422295043)	('>1k', 1.422536804429931)	('>5k', 0.5183426109951925)	('>10k+', 0.8776861681180094)
ERR950185_1	(1.0, 40.87644630441486)	(2.0, 13.13009013065651)	(3.0, 4.8255888595550305)	(4.0, 2.4374780922353354)	(5.0, 1.6462765728483726)	(6.0, 1.1484771117839463)	(7.0, 0.9249119065737067)	(8.0, 0.7193437927692861)	(9.0, 0.6097463776023404)	('>10', 7.03106093827038)	('>50', 2.1651944790857804)	('>100', 4.755893296582424)	('>500', 2.1222675651207874)	('>1k', 5.832845364632757)	('>5k', 3.0192043143442695)	('>10k+', 8.755174893524261)
ERR950186_1	(1.0, 68.21544681515014)	(2.0, 8.531406760295349)	(3.0, 2.707372872660164)	(4.0, 1.5968483625248036)	(5.0, 1.1522578822815162)	(6.0, 0.9442096397033547)	(7.0, 0.7138245633295512)	(8.0, 0.5850435008677525)	(9.0, 0.5500779220882158)	('>10', 6.647112767805957)	('>50', 1.7282213430390638)	('>100', 2.351936704245225)	('>500', 0.8578971050118863)	('>1k', 1.6753671792119555)	('>5k', 0.7330701023728682)	('>10k+', 1.0099064794122017)
ERR950187_1	(1.0, 17.393196767584506)	(2.0, 10.521739080809908)	(3.0, 5.14419190890046)	(4.0, 2.500868193364555)	(5.0, 1.3852771139879967)	(6.0, 0.9231912934116275)	(7.0, 0.6394527115975768)	(8.0, 0.5178758423135403)	(9.0, 0.44842260500053055)	('>10', 5.473216992262719)	('>50', 2.2927315827467)	('>100', 7.266216625506705)	('>500', 4.1221941612998245)	('>1k', 11.659517881826154)	('>5k', 5.812383473904054)	('>10k+', 23.899523765483092)
