Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
ERR950158_1	0.6779571882515468	2.626895659426198
ERR950159_1	0.32180638204300516	0.3674554569260574
ERR950160_1	1.8753911126869436	6.130521957997744
ERR950161_1	1.216294036148149	2.8015789412818766
ERR950162_1	2.2085152062820352	20.83200613965689
ERR950163_1	0.9668989199276254	3.2177072987131092
ERR950164_1	1.175427892131073	4.1840059783300285
ERR950165_1	1.1235816772584046	4.321474989781524
ERR950166_1	0.14590444311352263	0.0
ERR950167_1	1.7353169315221066	22.93352940442182
ERR950168_1	0.8803172924972976	8.961140820822942
ERR950169_1	0.2434790769894577	0.0
ERR950170_1	0.41586299035301444	0.26140818370644936
ERR950171_1	0.16847077980696584	0.0
ERR950172_1	1.0736898764748264	5.0550527969903225
ERR950173_1	1.4133301604902733	7.799691154969647
ERR950174_1	1.1172026796288033	7.891935953169135
ERR950175_1	0.13130052767545614	0.232846283286752
ERR950176_1	0.6884274884417996	1.4739836137911297
ERR950177_1	2.645356032402989	10.128022652004052
ERR950178_1	1.0743061229220068	3.203544926451288
ERR950179_1	1.374342590631341	4.228080851031803
ERR950180_1	1.3532673126821038	5.477580166085615
ERR950181_1	0.2268515310836959	0.29237963772500253
ERR950182_1	1.590951969613811	6.3830565188104975
ERR950183_1	0.48433929391926017	4.466398256279003
ERR950184_1	0.2120307600751865	0.17004866958029957
ERR950185_1	0.7264310179441048	4.850986902930776
ERR950186_1	0.2672791597833093	0.10611155639617303
ERR950187_1	2.5485876681463124	14.392547369992856
