Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
ERR950168_1	(2.0, 480.0)	(3.0, 484.0)	(4.0, 717.0)	(5.0, 1075.0)	(6.0, 1534.0)	(7.0, 2924.0)	(8.0, 5338.0)	(9.0, 8444.0)	(10.0, 12785.0)	(11.0, 18480.0)	(12.0, 25481.0)	(13.0, 33990.0)	(14.0, 42040.0)	(15.0, 50628.0)	(16.0, 61650.0)	(17.0, 76871.0)	(18.0, 94911.0)	(19.0, 114064.0)	(20.0, 136001.0)	(21.0, 158825.0)	(22.0, 184200.0)	(23.0, 213351.0)	(24.0, 250206.0)	(25.0, 293303.0)	(26.0, 350167.0)	(27.0, 420843.0)	(28.0, 508618.0)	(29.0, 620081.0)	(30.0, 760415.0)	(31.0, 946797.0)	(32.0, 1205375.0)	(33.0, 1603082.0)	(34.0, 2241738.0)	(35.0, 3384088.0)	(36.0, 5292558.0)	(37.0, 4899240.0)	(38.0, 886882.0)	(39.0, 5624.0)	
ERR950169_1	(2.0, 572.0)	(3.0, 538.0)	(4.0, 768.0)	(5.0, 1153.0)	(6.0, 2082.0)	(7.0, 4472.0)	(8.0, 9867.0)	(9.0, 16186.0)	(10.0, 24815.0)	(11.0, 36101.0)	(12.0, 49458.0)	(13.0, 64903.0)	(14.0, 80682.0)	(15.0, 96908.0)	(16.0, 119068.0)	(17.0, 148045.0)	(18.0, 183506.0)	(19.0, 231949.0)	(20.0, 286182.0)	(21.0, 348238.0)	(22.0, 418056.0)	(23.0, 496766.0)	(24.0, 586794.0)	(25.0, 687627.0)	(26.0, 805337.0)	(27.0, 937962.0)	(28.0, 1088805.0)	(29.0, 1258276.0)	(30.0, 1474552.0)	(31.0, 1756308.0)	(32.0, 2130006.0)	(33.0, 2623573.0)	(34.0, 3317226.0)	(35.0, 4278864.0)	(36.0, 5129792.0)	(37.0, 3785272.0)	(38.0, 794551.0)	(39.0, 10557.0)	
ERR950170_1	(2.0, 476.0)	(3.0, 508.0)	(4.0, 657.0)	(5.0, 1132.0)	(6.0, 2183.0)	(7.0, 5075.0)	(8.0, 11440.0)	(9.0, 19717.0)	(10.0, 30057.0)	(11.0, 40677.0)	(12.0, 52424.0)	(13.0, 64502.0)	(14.0, 75241.0)	(15.0, 89169.0)	(16.0, 109028.0)	(17.0, 133842.0)	(18.0, 166164.0)	(19.0, 202426.0)	(20.0, 246418.0)	(21.0, 295679.0)	(22.0, 355127.0)	(23.0, 418880.0)	(24.0, 495333.0)	(25.0, 586650.0)	(26.0, 695021.0)	(27.0, 820647.0)	(28.0, 956879.0)	(29.0, 1117886.0)	(30.0, 1319416.0)	(31.0, 1566321.0)	(32.0, 1884418.0)	(33.0, 2298921.0)	(34.0, 2856598.0)	(35.0, 3612049.0)	(36.0, 4307052.0)	(37.0, 3527925.0)	(38.0, 887048.0)	(39.0, 17712.0)	
ERR950171_1	(2.0, 504.0)	(3.0, 448.0)	(4.0, 648.0)	(5.0, 1081.0)	(6.0, 2151.0)	(7.0, 5008.0)	(8.0, 11451.0)	(9.0, 20102.0)	(10.0, 30342.0)	(11.0, 42360.0)	(12.0, 56122.0)	(13.0, 71858.0)	(14.0, 87637.0)	(15.0, 104957.0)	(16.0, 129003.0)	(17.0, 159960.0)	(18.0, 197958.0)	(19.0, 246569.0)	(20.0, 307488.0)	(21.0, 376522.0)	(22.0, 454564.0)	(23.0, 542939.0)	(24.0, 647135.0)	(25.0, 763212.0)	(26.0, 899554.0)	(27.0, 1060222.0)	(28.0, 1237427.0)	(29.0, 1440596.0)	(30.0, 1694971.0)	(31.0, 2020941.0)	(32.0, 2446754.0)	(33.0, 3027083.0)	(34.0, 3834889.0)	(35.0, 4984785.0)	(36.0, 6227402.0)	(37.0, 5367187.0)	(38.0, 1470228.0)	(39.0, 28944.0)	
ERR950172_1	(2.0, 473.0)	(3.0, 359.0)	(4.0, 415.0)	(5.0, 729.0)	(6.0, 1424.0)	(7.0, 3419.0)	(8.0, 8027.0)	(9.0, 13983.0)	(10.0, 21627.0)	(11.0, 29261.0)	(12.0, 37008.0)	(13.0, 45145.0)	(14.0, 53033.0)	(15.0, 60494.0)	(16.0, 70128.0)	(17.0, 84265.0)	(18.0, 101121.0)	(19.0, 121760.0)	(20.0, 144337.0)	(21.0, 169367.0)	(22.0, 197290.0)	(23.0, 229188.0)	(24.0, 269127.0)	(25.0, 316947.0)	(26.0, 379328.0)	(27.0, 456043.0)	(28.0, 547320.0)	(29.0, 645808.0)	(30.0, 755134.0)	(31.0, 918631.0)	(32.0, 1147476.0)	(33.0, 1487851.0)	(34.0, 2036032.0)	(35.0, 2987014.0)	(36.0, 4491335.0)	(37.0, 4855499.0)	(38.0, 1572448.0)	(39.0, 34015.0)	(40.0, 1.0)
ERR950173_1	(2.0, 389.0)	(3.0, 333.0)	(4.0, 410.0)	(5.0, 648.0)	(6.0, 1060.0)	(7.0, 2144.0)	(8.0, 4393.0)	(9.0, 7130.0)	(10.0, 10893.0)	(11.0, 15351.0)	(12.0, 20608.0)	(13.0, 26400.0)	(14.0, 30169.0)	(15.0, 34677.0)	(16.0, 41740.0)	(17.0, 51457.0)	(18.0, 63324.0)	(19.0, 75729.0)	(20.0, 88474.0)	(21.0, 103739.0)	(22.0, 121176.0)	(23.0, 143177.0)	(24.0, 169256.0)	(25.0, 202241.0)	(26.0, 242913.0)	(27.0, 296589.0)	(28.0, 362184.0)	(29.0, 445594.0)	(30.0, 550718.0)	(31.0, 684337.0)	(32.0, 873328.0)	(33.0, 1152971.0)	(34.0, 1611497.0)	(35.0, 2436546.0)	(36.0, 3982670.0)	(37.0, 4585287.0)	(38.0, 1261926.0)	(39.0, 15854.0)	
ERR950174_1	(2.0, 490.0)	(3.0, 447.0)	(4.0, 582.0)	(5.0, 967.0)	(6.0, 1492.0)	(7.0, 2740.0)	(8.0, 5039.0)	(9.0, 8268.0)	(10.0, 13037.0)	(11.0, 18651.0)	(12.0, 25648.0)	(13.0, 34261.0)	(14.0, 42350.0)	(15.0, 51980.0)	(16.0, 63039.0)	(17.0, 78252.0)	(18.0, 95409.0)	(19.0, 115310.0)	(20.0, 136664.0)	(21.0, 159159.0)	(22.0, 185338.0)	(23.0, 213611.0)	(24.0, 247913.0)	(25.0, 290188.0)	(26.0, 343814.0)	(27.0, 411840.0)	(28.0, 497698.0)	(29.0, 602883.0)	(30.0, 741025.0)	(31.0, 919201.0)	(32.0, 1170501.0)	(33.0, 1551942.0)	(34.0, 2168832.0)	(35.0, 3286866.0)	(36.0, 5203688.0)	(37.0, 5226746.0)	(38.0, 1076091.0)	(39.0, 7620.0)	
ERR950175_1	(2.0, 479.0)	(3.0, 487.0)	(4.0, 640.0)	(5.0, 1013.0)	(6.0, 1677.0)	(7.0, 3900.0)	(8.0, 8239.0)	(9.0, 13472.0)	(10.0, 20247.0)	(11.0, 29532.0)	(12.0, 41093.0)	(13.0, 53651.0)	(14.0, 66262.0)	(15.0, 80695.0)	(16.0, 99894.0)	(17.0, 125967.0)	(18.0, 157182.0)	(19.0, 196669.0)	(20.0, 242927.0)	(21.0, 292787.0)	(22.0, 351644.0)	(23.0, 412070.0)	(24.0, 487719.0)	(25.0, 572958.0)	(26.0, 673250.0)	(27.0, 795979.0)	(28.0, 934217.0)	(29.0, 1096006.0)	(30.0, 1293412.0)	(31.0, 1532364.0)	(32.0, 1832143.0)	(33.0, 2236102.0)	(34.0, 2779057.0)	(35.0, 3523682.0)	(36.0, 4200329.0)	(37.0, 3223606.0)	(38.0, 745935.0)	(39.0, 12738.0)	
ERR950176_1	(2.0, 502.0)	(3.0, 592.0)	(4.0, 467.0)	(5.0, 734.0)	(6.0, 1378.0)	(7.0, 3379.0)	(8.0, 7087.0)	(9.0, 12027.0)	(10.0, 18396.0)	(11.0, 25796.0)	(12.0, 34591.0)	(13.0, 45525.0)	(14.0, 56273.0)	(15.0, 68483.0)	(16.0, 82682.0)	(17.0, 103233.0)	(18.0, 132730.0)	(19.0, 166928.0)	(20.0, 208273.0)	(21.0, 254982.0)	(22.0, 310983.0)	(23.0, 364708.0)	(24.0, 429517.0)	(25.0, 509517.0)	(26.0, 609932.0)	(27.0, 727627.0)	(28.0, 842316.0)	(29.0, 942659.0)	(30.0, 1088927.0)	(31.0, 1294981.0)	(32.0, 1575577.0)	(33.0, 1954754.0)	(34.0, 2466793.0)	(35.0, 3183754.0)	(36.0, 3913921.0)	(37.0, 3139295.0)	(38.0, 571456.0)	(39.0, 4525.0)	
ERR950177_1	(2.0, 480.0)	(3.0, 503.0)	(4.0, 490.0)	(5.0, 675.0)	(6.0, 1427.0)	(7.0, 3470.0)	(8.0, 7495.0)	(9.0, 12995.0)	(10.0, 19267.0)	(11.0, 26374.0)	(12.0, 34027.0)	(13.0, 42091.0)	(14.0, 50421.0)	(15.0, 58317.0)	(16.0, 68962.0)	(17.0, 83380.0)	(18.0, 101920.0)	(19.0, 122722.0)	(20.0, 145867.0)	(21.0, 170540.0)	(22.0, 200845.0)	(23.0, 235028.0)	(24.0, 275704.0)	(25.0, 326890.0)	(26.0, 390374.0)	(27.0, 468036.0)	(28.0, 559072.0)	(29.0, 655396.0)	(30.0, 775618.0)	(31.0, 941193.0)	(32.0, 1174457.0)	(33.0, 1515275.0)	(34.0, 2055887.0)	(35.0, 2976436.0)	(36.0, 4366572.0)	(37.0, 4516332.0)	(38.0, 1385155.0)	(39.0, 26877.0)	
ERR950178_1	(2.0, 500.0)	(3.0, 353.0)	(4.0, 447.0)	(5.0, 687.0)	(6.0, 1140.0)	(7.0, 2671.0)	(8.0, 6320.0)	(9.0, 10793.0)	(10.0, 16857.0)	(11.0, 23515.0)	(12.0, 30196.0)	(13.0, 38043.0)	(14.0, 45392.0)	(15.0, 53216.0)	(16.0, 63669.0)	(17.0, 76448.0)	(18.0, 93368.0)	(19.0, 112165.0)	(20.0, 134959.0)	(21.0, 160240.0)	(22.0, 189446.0)	(23.0, 222826.0)	(24.0, 264150.0)	(25.0, 312725.0)	(26.0, 376552.0)	(27.0, 458143.0)	(28.0, 557382.0)	(29.0, 667895.0)	(30.0, 793960.0)	(31.0, 970627.0)	(32.0, 1213999.0)	(33.0, 1569239.0)	(34.0, 2152410.0)	(35.0, 3184602.0)	(36.0, 4938601.0)	(37.0, 5609183.0)	(38.0, 1962303.0)	(39.0, 45807.0)	
ERR950179_1	(2.0, 336.0)	(3.0, 333.0)	(4.0, 435.0)	(5.0, 654.0)	(6.0, 962.0)	(7.0, 1920.0)	(8.0, 3790.0)	(9.0, 6527.0)	(10.0, 10275.0)	(11.0, 14461.0)	(12.0, 19437.0)	(13.0, 24784.0)	(14.0, 29780.0)	(15.0, 35310.0)	(16.0, 41464.0)	(17.0, 50826.0)	(18.0, 61805.0)	(19.0, 74271.0)	(20.0, 87121.0)	(21.0, 101079.0)	(22.0, 117253.0)	(23.0, 136153.0)	(24.0, 159133.0)	(25.0, 186116.0)	(26.0, 220319.0)	(27.0, 264666.0)	(28.0, 321253.0)	(29.0, 390991.0)	(30.0, 481721.0)	(31.0, 601817.0)	(32.0, 773766.0)	(33.0, 1038962.0)	(34.0, 1466589.0)	(35.0, 2254279.0)	(36.0, 3698700.0)	(37.0, 4037870.0)	(38.0, 948407.0)	(39.0, 7502.0)	
ERR950180_1	(2.0, 668.0)	(3.0, 524.0)	(4.0, 605.0)	(5.0, 944.0)	(6.0, 1829.0)	(7.0, 4055.0)	(8.0, 8778.0)	(9.0, 15371.0)	(10.0, 24162.0)	(11.0, 32914.0)	(12.0, 42322.0)	(13.0, 53273.0)	(14.0, 61571.0)	(15.0, 71560.0)	(16.0, 84134.0)	(17.0, 102194.0)	(18.0, 123241.0)	(19.0, 147939.0)	(20.0, 175362.0)	(21.0, 207651.0)	(22.0, 244030.0)	(23.0, 286038.0)	(24.0, 338662.0)	(25.0, 401542.0)	(26.0, 479884.0)	(27.0, 582196.0)	(28.0, 702652.0)	(29.0, 840376.0)	(30.0, 1003759.0)	(31.0, 1232462.0)	(32.0, 1541550.0)	(33.0, 2011453.0)	(34.0, 2783962.0)	(35.0, 4147501.0)	(36.0, 6306475.0)	(37.0, 6799787.0)	(38.0, 2260883.0)	(39.0, 53472.0)	
ERR950181_1	(2.0, 462.0)	(3.0, 436.0)	(4.0, 732.0)	(5.0, 1228.0)	(6.0, 1984.0)	(7.0, 4096.0)	(8.0, 8674.0)	(9.0, 14053.0)	(10.0, 20923.0)	(11.0, 29655.0)	(12.0, 41629.0)	(13.0, 53629.0)	(14.0, 64133.0)	(15.0, 77032.0)	(16.0, 94887.0)	(17.0, 119040.0)	(18.0, 147389.0)	(19.0, 182039.0)	(20.0, 224326.0)	(21.0, 268047.0)	(22.0, 322121.0)	(23.0, 379772.0)	(24.0, 448515.0)	(25.0, 528426.0)	(26.0, 622340.0)	(27.0, 734919.0)	(28.0, 862212.0)	(29.0, 1012020.0)	(30.0, 1190928.0)	(31.0, 1414091.0)	(32.0, 1695675.0)	(33.0, 2064887.0)	(34.0, 2560929.0)	(35.0, 3231517.0)	(36.0, 3864042.0)	(37.0, 2951453.0)	(38.0, 643680.0)	(39.0, 10785.0)	
ERR950182_1	(2.0, 545.0)	(3.0, 483.0)	(4.0, 528.0)	(5.0, 958.0)	(6.0, 1648.0)	(7.0, 3470.0)	(8.0, 7323.0)	(9.0, 12643.0)	(10.0, 18785.0)	(11.0, 25740.0)	(12.0, 33536.0)	(13.0, 41619.0)	(14.0, 48688.0)	(15.0, 56964.0)	(16.0, 69021.0)	(17.0, 84346.0)	(18.0, 102314.0)	(19.0, 119869.0)	(20.0, 139361.0)	(21.0, 161298.0)	(22.0, 187304.0)	(23.0, 217727.0)	(24.0, 254410.0)	(25.0, 304030.0)	(26.0, 367313.0)	(27.0, 445311.0)	(28.0, 545198.0)	(29.0, 664471.0)	(30.0, 812816.0)	(31.0, 989332.0)	(32.0, 1232004.0)	(33.0, 1576921.0)	(34.0, 2113001.0)	(35.0, 3060775.0)	(36.0, 4839216.0)	(37.0, 5487591.0)	(38.0, 1597080.0)	(39.0, 30121.0)	
ERR950183_1	(19.0, 1.0)	(20.0, 1.0)	(21.0, 4.0)	(22.0, 25.0)	(23.0, 127.0)	(24.0, 434.0)	(25.0, 1464.0)	(26.0, 3808.0)	(27.0, 8791.0)	(28.0, 27621.0)	(29.0, 87982.0)	(30.0, 216713.0)	(31.0, 426631.0)	(32.0, 734016.0)	(33.0, 1207239.0)	(34.0, 2016641.0)	(35.0, 3601078.0)	(36.0, 6997711.0)	(37.0, 9836115.0)	(38.0, 4011542.0)	(39.0, 157463.0)	(40.0, 20.0)																	
ERR950184_1	(2.0, 456.0)	(3.0, 446.0)	(4.0, 669.0)	(5.0, 1078.0)	(6.0, 1999.0)	(7.0, 4218.0)	(8.0, 8878.0)	(9.0, 15041.0)	(10.0, 22811.0)	(11.0, 31814.0)	(12.0, 43072.0)	(13.0, 53891.0)	(14.0, 64617.0)	(15.0, 77536.0)	(16.0, 94752.0)	(17.0, 117415.0)	(18.0, 145654.0)	(19.0, 181346.0)	(20.0, 224498.0)	(21.0, 271925.0)	(22.0, 325524.0)	(23.0, 383977.0)	(24.0, 452557.0)	(25.0, 534507.0)	(26.0, 622433.0)	(27.0, 727897.0)	(28.0, 847382.0)	(29.0, 990078.0)	(30.0, 1164872.0)	(31.0, 1382420.0)	(32.0, 1664610.0)	(33.0, 2036113.0)	(34.0, 2535404.0)	(35.0, 3192119.0)	(36.0, 3669463.0)	(37.0, 2719374.0)	(38.0, 610817.0)	(39.0, 10525.0)	
ERR950185_1	(2.0, 531.0)	(3.0, 381.0)	(4.0, 413.0)	(5.0, 706.0)	(6.0, 1055.0)	(7.0, 2299.0)	(8.0, 4686.0)	(9.0, 8092.0)	(10.0, 12273.0)	(11.0, 17711.0)	(12.0, 24155.0)	(13.0, 31334.0)	(14.0, 38517.0)	(15.0, 44633.0)	(16.0, 52788.0)	(17.0, 63793.0)	(18.0, 78368.0)	(19.0, 96045.0)	(20.0, 115479.0)	(21.0, 137263.0)	(22.0, 162303.0)	(23.0, 190923.0)	(24.0, 226579.0)	(25.0, 269937.0)	(26.0, 325864.0)	(27.0, 396094.0)	(28.0, 480160.0)	(29.0, 565140.0)	(30.0, 670643.0)	(31.0, 832156.0)	(32.0, 1058797.0)	(33.0, 1410757.0)	(34.0, 1997849.0)	(35.0, 3052908.0)	(36.0, 4727546.0)	(37.0, 5082350.0)	(38.0, 1648371.0)	(39.0, 36822.0)	
